"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.50.94","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"2","1.139406","192.168.50.4","224.0.0.251","MDNS","122","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR lb._dns-sd._udp.local, ""QU"" question"
"3","1.139528","fe80::894:4ef2:9384:326f","ff02::fb","MDNS","142","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR lb._dns-sd._udp.local, ""QU"" question"
"4","1.500245","192.168.50.94","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"5","2.163939","192.168.50.4","224.0.0.251","MDNS","122","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR lb._dns-sd._udp.local, ""QM"" question"
"6","2.164051","fe80::894:4ef2:9384:326f","ff02::fb","MDNS","142","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR lb._dns-sd._udp.local, ""QM"" question"
"7","3.515605","192.168.50.94","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"8","3.904554","192.168.50.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"9","3.904642","192.168.50.1","239.255.255.250","SSDP","513","NOTIFY * HTTP/1.1 "
"10","3.904663","192.168.50.1","239.255.255.250","SSDP","450","NOTIFY * HTTP/1.1 "
"11","3.906843","192.168.50.1","239.255.255.250","SSDP","509","NOTIFY * HTTP/1.1 "
"12","3.906875","192.168.50.1","239.255.255.250","SSDP","450","NOTIFY * HTTP/1.1 "
"13","3.906893","192.168.50.1","239.255.255.250","SSDP","489","NOTIFY * HTTP/1.1 "
"14","3.909147","192.168.50.1","239.255.255.250","SSDP","450","NOTIFY * HTTP/1.1 "
"15","3.909175","192.168.50.1","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"16","3.909193","192.168.50.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"17","3.911454","192.168.50.1","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"18","3.911483","192.168.50.1","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"19","4.211769","192.168.50.1","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"20","4.211927","192.168.50.1","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"21","4.211946","192.168.50.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"22","4.214314","192.168.50.1","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"23","4.214343","192.168.50.1","239.255.255.250","SSDP","450","NOTIFY * HTTP/1.1 "
"24","4.214363","192.168.50.1","239.255.255.250","SSDP","489","NOTIFY * HTTP/1.1 "
"25","4.217128","192.168.50.1","239.255.255.250","SSDP","450","NOTIFY * HTTP/1.1 "
"26","4.217156","192.168.50.1","239.255.255.250","SSDP","509","NOTIFY * HTTP/1.1 "
"27","4.217174","192.168.50.1","239.255.255.250","SSDP","450","NOTIFY * HTTP/1.1 "
"28","4.219430","192.168.50.1","239.255.255.250","SSDP","513","NOTIFY * HTTP/1.1 "
"29","4.219465","192.168.50.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"30","5.024351","162.159.134.234","192.168.50.94","TLSv1.2","113","Application Data"
"31","5.068179","192.168.50.94","162.159.134.234","TCP","54","53678  >  443 [ACK] Seq=1 Ack=60 Win=1021 Len=0"
